Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2020-04-30 00:12:22;2020-04-30 08:26:48;85%;8:14;;;0;0
2020-05-01 00:02:56;2020-05-01 07:36:08;87%;7:33;;;0;0
2020-05-02 00:39:21;2020-05-02 08:09:35;84%;7:30;;;0;0
2020-05-03 01:55:20;2020-05-03 07:32:41;56%;5:37;;;0;0
2020-05-03 23:32:56;2020-05-04 07:27:24;76%;7:54;;;0;0
2020-05-04 23:51:41;2020-05-05 08:47:13;80%;8:55;;;0;1110
2020-05-06 00:08:26;2020-05-06 07:29:17;79%;7:20;;;0;553
2020-05-06 23:58:26;2020-05-07 08:49:09;90%;8:50;;;0;824
2020-05-07 23:27:41;2020-05-08 06:16:43;78%;6:49;;;0;3253
2020-05-10 00:06:44;2020-05-10 00:31:02;5%;0:24;;;0;32
2020-05-10 01:57:29;2020-05-10 07:47:56;60%;5:50;;;0;32
2020-05-10 23:42:59;2020-05-11 08:12:25;77%;8:29;;;0;2379
2020-05-11 22:19:32;2020-05-12 08:18:40;66%;9:59;;;0;395
2020-05-12 23:31:39;2020-05-13 06:06:28;77%;6:34;;;0;368
2020-05-14 01:25:45;2020-05-14 07:05:39;61%;5:39;;;0;465
2020-05-17 03:21:27;2020-05-17 06:25:37;24%;3:04;;;0;1016
2020-05-17 23:08:30;2020-05-18 08:19:48;100%;9:11;;;0;607
2020-05-18 21:26:38;2020-05-19 04:35:23;91%;7:08;:|;Ate late:Stressful day;0;239
2020-05-19 21:57:03;2020-05-20 08:54:34;100%;10:57;:);Ate late:Depressed day:Tremor feeling;0;81
2020-05-21 00:26:51;2020-05-21 07:47:27;73%;7:20;:|;Coffee:Good day:Headache:Tired;0;803
2020-05-21 22:48:25;2020-05-22 08:26:43;90%;9:38;:(;Good day:Tremor feeling;0;1052
2020-05-23 01:00:15;2020-05-23 06:28:40;62%;5:28;:|;Ate late:Ate sugar/high carb:Coffee:Good day:Headache:Sedentary day:Tired;0;378
2020-05-23 22:21:04;2020-05-24 08:36:38;89%;10:15;:|;Ate late:Ate sugar/high carb:Coffee:Good day:Sedentary day;0;1451
2020-05-24 23:34:58;2020-05-25 02:49:55;40%;3:14;:(;Ate late:Ate sugar/high carb:Coffee:Good day;0;3637
2020-05-25 04:26:28;2020-05-25 07:11:01;29%;2:44;:|;;0;3637
2020-05-25 22:21:53;2020-05-26 07:41:24;99%;9:19;:|;Ate late:Ate sugar/high carb:Coffee:Good day:Sedentary day:Tea:Tired;0;2135
2020-05-26 22:52:42;2020-05-27 04:54:41;59%;6:01;:|;Ate sugar/high carb:Coffee:Good day:Sedentary day;0;3348
2020-05-27 23:12:27;2020-05-28 08:45:08;94%;9:32;:|;Ate sugar/high carb:Coffee:Good day:Sedentary day:Tired:Took a walk;0;3917
2020-05-28 22:15:25;2020-05-29 06:48:45;85%;8:33;:(;Coffee:Good day:Kept keto:Sedentary day:Tired:Worked out;0;1583
2020-05-30 00:42:10;2020-05-30 07:28:58;64%;6:46;:|;Ate late:Ate sugar/high carb:Coffee:Good day:Sedentary day:Tea;0;1213
2020-05-31 22:18:51;2020-06-01 04:59:35;76%;6:40;:(;Ate sugar/high carb:Coffee:Daylight:Good day:Headache:Sedentary day:Tired:Took a walk:Tremor feeling;0;3105
2020-06-01 22:47:39;2020-06-02 05:26:33;67%;6:38;:(;Ate sugar/high carb:Coffee:Headache:Kept keto:Sedentary day:Tired:Tremor feeling;0;3841
2020-06-02 23:36:49;2020-06-03 05:57:43;69%;6:20;:|;Ate late:Ate sugar/high carb:Coffee:Good day:Headache:Stressful day:Tired:Took a walk:Tremor feeling:Worked out;0;2943
2020-06-03 23:05:45;2020-06-04 07:45:40;92%;8:39;:);Coffee:Good day:Kept keto:Sedentary day;0;3147
2020-06-04 23:20:04;2020-06-05 05:50:41;69%;6:30;:|;Coffee:Good day:Headache:Kept keto:Tired:Took a walk;0;5583
2020-06-05 22:37:12;2020-06-06 06:40:39;92%;8:03;:|;Coffee:Depressed day:Good day:Kept keto:Sedentary day:Tired;0;3019
2020-06-06 23:34:28;2020-06-07 06:17:13;74%;6:42;:(;Ate late:Coffee:Good day:Kept keto:Took a walk;0;4461
2020-06-07 23:19:30;2020-06-08 06:48:19;84%;7:28;:);Ate late:Coffee:Headache:Kept keto:Sedentary day;0;2803
2020-06-08 23:22:28;2020-06-09 06:42:53;77%;7:20;:(;Ate late:Headache:Tired:Took a walk;0;5288
2020-06-09 22:37:46;2020-06-10 07:19:56;94%;8:42;:);Ate late:Good day:Kept keto:Sedentary day;0;2538
2020-06-14 00:20:09;2020-06-14 09:47:17;78%;9:27;:);;78;3085
2020-06-14 22:55:05;2020-06-15 07:49:46;100%;8:54;:|;Ate late:Coffee:Daylight:Good day:Headache:Kept keto:Sedentary day:Worked out;0;3140
2020-06-15 22:10:22;2020-06-16 05:50:33;76%;7:40;:(;Ate late:Headache:Sedentary day;0;1791
2020-06-18 23:37:13;2020-06-19 07:15:38;82%;7:38;:|;Coffee:Good day:Kept keto:Sedentary day:Tired:Tremor feeling;0;2037
2020-06-20 00:08:39;2020-06-20 06:01:41;67%;5:53;:(;Coffee:Depressed day:Good day:Headache:Kept keto;0;2474
2020-06-20 21:47:07;2020-06-21 08:13:32;90%;10:26;:|;Coffee:Daylight:Good day:Headache:Sedentary day;0;1626
2020-06-22 00:20:01;2020-06-22 06:50:07;76%;6:30;:|;Ate late:Coffee:Daylight:Good day:Sedentary day:Tea;0;2545
2020-06-22 21:48:19;2020-06-23 07:50:00;100%;10:01;:|;Coffee:Good day:Sedentary day:Tremor feeling;0;2696
2020-06-23 23:54:32;2020-06-24 06:30:42;69%;6:36;:(;Coffee:Daylight:Good day:Kept keto:Tremor feeling:Worked out;0;4473
2020-06-24 22:41:53;2020-06-25 06:33:30;70%;7:51;:(;Coffee:Daylight:Good day:Kept keto:Worked out;0;4042
2020-06-25 22:42:08;2020-06-26 06:20:49;85%;7:38;:|;Coffee:Depressed day:Kept keto:Stressful day;0;3185
2020-06-27 23:13:11;2020-06-28 07:21:45;86%;8:08;:|;Coffee:Daylight:Good day:Kept keto;0;3861
2020-06-29 22:47:39;2020-06-30 05:56:05;71%;7:08;:|;Coffee:Good day:Kept keto:Sedentary day:Took a walk;0;4131
2020-07-01 23:07:18;2020-07-02 08:21:41;75%;9:14;:);;0;2801
2020-07-02 23:26:54;2020-07-03 08:18:17;99%;8:51;:|;;0;3349
2020-07-04 00:19:19;2020-07-04 08:01:35;77%;7:42;:);;0;4343
2020-07-05 23:57:08;2020-07-06 08:09:50;90%;8:12;:|;;0;4125
2020-07-06 22:43:18;2020-07-07 07:27:36;88%;8:44;:|;;0;3417
2020-07-07 23:02:50;2020-07-08 08:17:17;84%;9:14;:);;0;4533
2020-07-08 23:25:19;2020-07-09 06:59:09;82%;7:33;:(;;0;5091
2020-07-09 23:05:10;2020-07-10 08:25:11;100%;9:20;;;0;0
2020-07-11 00:33:37;2020-07-11 06:33:14;63%;5:59;:(;;0;2473
2020-07-12 00:05:06;2020-07-12 08:13:18;90%;8:08;:);;0;2198
2020-07-12 23:40:42;2020-07-13 08:10:48;69%;8:30;:);;0;2812
2020-07-13 23:48:36;2020-07-14 07:29:10;64%;7:40;:(;;0;4426
2020-07-14 23:59:21;2020-07-15 06:36:56;78%;6:37;:(;;0;6045
2020-07-16 00:02:50;2020-07-16 07:00:11;81%;6:57;:(;;0;3603
2020-07-18 00:53:20;2020-07-18 06:25:58;61%;5:32;:|;;0;3875
2020-07-18 23:51:39;2020-07-19 07:42:09;67%;7:50;:(;;0;5555
2020-07-20 00:00:10;2020-07-20 08:21:05;86%;8:20;:);;0;2443
2020-07-21 22:08:57;2020-07-22 03:47:56;54%;5:38;:|;;0;2749
2020-07-23 21:56:03;2020-07-24 08:02:32;100%;10:06;:(;;0;939
2020-07-24 23:09:55;2020-07-25 08:42:44;92%;9:32;:(;;0;1334
